fault_kind,phase,scheduled_action_count,applied_action_count,runtime_exercised
CONTACT_CLOSE,RECOVERY_COMMIT,3,1,True
CONTACT_CLOSE,RECOVERY_CONFIRM,2,0,False
CONTACT_CLOSE,RECOVERY_PREPARE,2,0,False
CONTACT_CLOSE,RECOVERY_RESPONSE,2,0,False
CONTACT_CLOSE,STATUS_TELEMETRY,6,6,True
CONTACT_CLOSE,TEST_COMMAND,3,3,True
DELAY,RECOVERY_COMMIT,3,2,True
DELAY,RECOVERY_CONFIRM,3,1,True
DELAY,RECOVERY_PREPARE,5,0,False
DELAY,RECOVERY_RESPONSE,1,0,False
DELAY,STATUS_TELEMETRY,2,2,True
DELAY,TEST_COMMAND,6,5,True
DROP,RECOVERY_COMMIT,1,0,False
DROP,RECOVERY_CONFIRM,4,1,True
DROP,RECOVERY_PREPARE,2,1,True
DROP,RECOVERY_RESPONSE,5,1,True
DROP,STATUS_TELEMETRY,3,3,True
DROP,TEST_COMMAND,3,3,True
DUPLICATE,RECOVERY_COMMIT,2,0,False
DUPLICATE,RECOVERY_CONFIRM,6,4,True
DUPLICATE,RECOVERY_PREPARE,4,2,True
DUPLICATE,RECOVERY_RESPONSE,7,3,True
ENDPOINT_RESTART,RECOVERY_COMMIT,13,5,True
ENDPOINT_RESTART,RECOVERY_CONFIRM,15,6,True
REORDER,RECOVERY_COMMIT,13,7,True
REORDER,RECOVERY_CONFIRM,7,1,True
REORDER,RECOVERY_PREPARE,10,4,True
REORDER,RECOVERY_RESPONSE,8,2,True
STALE_COUNTER,RECOVERY_PREPARE,22,6,True
STALE_REPLAY,RECOVERY_COMMIT,16,6,True
STALE_REPLAY,RECOVERY_CONFIRM,12,2,True
