schedule_id,schedule_class,fault_kind_or_control,phase_or_control,outcome,alignment,security_state,availability_state,verification_complete,rejection_evidence
DET-000-NO-FAULT,CONTROL,NONE,NONE,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-PREP,CANONICAL_CELL,DROP,RECOVERY_PREPARE,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-RESP,CANONICAL_CELL,DROP,RECOVERY_RESPONSE,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-COMM,CANONICAL_CELL,DROP,RECOVERY_COMMIT,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-CONF,CANONICAL_CELL,DROP,RECOVERY_CONFIRM,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-TEST,CANONICAL_CELL,DROP,TEST_COMMAND,INDETERMINATE,SYNC(3),NOT_ESTABLISHED,DEGRADED,False,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DROP-STAT,CANONICAL_CELL,DROP,STATUS_TELEMETRY,INDETERMINATE,SYNC(3),NOT_ESTABLISHED,DEGRADED,False,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DLY-PREP,CANONICAL_CELL,DELAY,RECOVERY_PREPARE,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DLY-RESP,CANONICAL_CELL,DELAY,RECOVERY_RESPONSE,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DLY-COMM,CANONICAL_CELL,DELAY,RECOVERY_COMMIT,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
DET-CELL-DLY-CONF,CANONICAL_CELL,DELAY,RECOVERY_CONFIRM,SUCCESS,SYNC(3),SECURE_PROVISIONAL,AVAILABLE,True,"{""rejection_count"":0,""replay_rejection_count"":0,""stale_state_rejection_count"":0}"
